d18O	dD
-4.23	-21.93
-3.60	-17.12
-2.99	-13.24
-2.47	-12.23
-2.65	-13.63
-4.32	-23.65
-5.62	-34.64
-3.98	-24.67
-3.21	-19.08
-3.20	-18.46
-2.79	-17.00
-5.14	-26.76
-4.14	-23.44
-2.56	-14.04
-2.45	-13.90
-2.50	-14.76
-2.74	-15.54
-2.75	-15.41
-2.94	-16.03
-3.01	-17.20
-2.83	-16.50
-2.84	-16.38
-2.73	-15.80
-2.58	-15.44
-2.63	-14.92
-2.84	-14.46
-2.71	-15.00
-2.56	-14.75
-2.85	-16.14
-2.52	-14.54
-2.20	-13.60
-2.03	-13.05
-1.69	-10.65
-1.68	-11.37
-3.01	-14.44
-2.74	-15.54
-2.29	-11.31
-1.62	-11.01
-1.50	-11.80
-1.12	-10.06
-1.04	-9.73
-0.97	-8.95
-2.13	-11.63
-2.28	-12.86
-2.14	-12.17
-1.34	-10.06
-1.32	-9.62
-0.94	-7.83
-0.72	-7.59
-0.47	-7.30
-0.43	-6.20
-0.45	-7.09
-0.47	-6.86
-0.68	-8.42
-1.71	-13.18
-1.20	-9.84
-1.29	-10.03
-1.07	-8.31
-0.83	-7.84
-0.80	-8.65
-0.67	-9.81
-0.94	-11.04
-0.60	-9.06
-0.55	-8.91
-0.44	-9.04
-3.26	-24.91
-2.86	-22.08
-4.01	-29.98
-2.37	-19.29
-2.00	-16.00
-2.50	-18.76
-2.21	-16.78
-1.93	-14.13
-1.56	-12.37
-1.47	-12.14
-1.65	-11.33
-1.53	-11.62
-1.37	-10.76
-1.39	-10.61
-1.37	-11.01
-1.01	-9.99
-1.20	-10.26
-1.29	-11.0
-1.28	-10.68
-1.38	-11.51
-1.31	-10.59
-1.06	-10.16
-1.16	-10.36
-1.31	-10.94
-1.61	-12.07
-5.31	-36.53
-6.50	-44.83
-6.97	-48.71
-6.46	-45.15
-6.10	-42.46
-5.69	-39.07
-5.22	-35.66
-4.54	-31.10
-4.05	-27.87
-3.64	-25.29
-3.30	-23.64
-3.27	-22.35
-2.41	-17.44
-2.21	-15.18
-2.10	-13.75
-1.80	-12.28
-1.85	-12.35
-1.28	-9.53
-1.19	-8.98
-0.78	-7.02
-1.37	-9.14
-0.64	-6.66
-2.17	-13.81
-2.16	-12.82
-2.72	-17.65
-1.67	-9.86
-1.25	-9.17
-0.73	-7.58
-0.34	-6.69
1.35	0.06
1.23	-0.28
1.31	0.06
0.10	-4.55
-0.56	-4.87
-0.77	-6.84
-2.41	-18.90
-3.93	-19.82
-3.53	-20.04
-3.00	-17.80
-1.94	-12.84
